
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-15 11:03:48 /api/v1/procurement/suppliers-manage ..................................................... ~ 1s
  2026-08-15 11:03:49 /api/v1/procurement/analytics ............................................................ ~ 1s
  2026-08-15 11:03:50 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:51 /api/v1/procurement/purchase-requests .................................................... ~ 1s
  2026-08-15 11:03:52 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:03:52 /api/v1/procurement/approved-purchase-requests ........................................... ~ 1s
  2026-08-15 11:03:53 /api/v1/procurement/purchase-orders ...................................................... ~ 1s
  2026-08-15 11:03:54 /api/v1/procurement/suppliers-manage ..................................................... ~ 1s
  2026-08-15 11:03:54 /api/v1/procurement/analytics ............................................................ ~ 1s
  2026-08-15 11:03:55 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:03:56 /api/v1/notifications/stream ....................................................... ~ 508.00ms
  2026-08-15 11:03:58 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:04:00 /api/v1/notifications/stream ....................................................... ~ 503.59ms
  2026-08-15 11:04:01 /api/v1/notifications/stream ....................................................... ~ 508.60ms
  2026-08-15 11:04:03 /api/v1/notifications/stream ....................................................... ~ 507.23ms
  2026-08-15 11:04:04 /api/v1/notifications/stream ....................................................... ~ 504.72ms
  2026-08-15 11:04:06 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:04:08 /api/v1/procurement/suppliers-manage ............................................... ~ 503.62ms
  2026-08-15 11:04:08 /api/v1/procurement/departments .......................................................... ~ 1s
  2026-08-15 11:04:08 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:04:09 /api/v1/procurement/departments .......................................................... ~ 1s
  2026-08-15 11:04:10 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:04:12 /api/v1/notifications/stream ....................................................... ~ 504.37ms
  2026-08-15 11:04:14 /api/v1/notifications/stream ....................................................... ~ 501.27ms
  2026-08-15 11:04:15 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:04:17 /api/v1/notifications/stream ....................................................... ~ 504.85ms
  2026-08-15 11:04:19 /api/v1/notifications/stream ....................................................... ~ 507.90ms
  2026-08-15 11:04:20 /api/v1/notifications/stream ....................................................... ~ 514.63ms
  2026-08-15 11:04:22 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:04:24 /api/v1/notifications/stream ....................................................... ~ 509.67ms
  2026-08-15 11:04:25 /api/v1/notifications/stream ....................................................... ~ 508.55ms
  2026-08-15 11:04:27 /api/v1/notifications/stream ....................................................... ~ 507.03ms
  2026-08-15 11:04:29 /api/v1/notifications/stream ....................................................... ~ 514.35ms
  2026-08-15 11:04:30 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:04:32 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:04:34 /api/v1/notifications/stream ....................................................... ~ 501.16ms
  2026-08-15 11:04:35 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:04:37 /api/v1/notifications/stream ....................................................... ~ 500.94ms
  2026-08-15 11:04:38 /api/v1/notifications/stream ....................................................... ~ 507.00ms
  2026-08-15 11:04:40 /api/v1/notifications/stream ....................................................... ~ 510.93ms
  2026-08-15 11:04:42 /api/v1/notifications/stream ....................................................... ~ 507.46ms
  2026-08-15 11:04:43 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:04:44 /api/v1/auth/logout ................................................................ ~ 506.56ms
